run,score_map,pool,auroc_pct,aupr_pct
bras2021_diag_K10,cosine_distance_map,max,71.1448,91.9142
bras2021_diag_K10,cosine_distance_map,mean,71.0318,90.8680
bras2021_diag_K10,cosine_distance_map,topk,70.1440,91.2310
bras2021_diag_K10,weighted_distance_map,max,58.9148,86.9066
bras2021_diag_K10,weighted_distance_map,mean,65.7969,88.6605
bras2021_diag_K10,weighted_distance_map,topk,61.8204,87.6998
bras2021_diag_K10,max_log_prob_map,max,69.0596,90.7996
bras2021_diag_K10,max_log_prob_map,mean,67.6573,89.3663
bras2021_diag_K10,max_log_prob_map,topk,68.3798,90.0590
bras2021_diag_K10,squared_distance_map,max,70.8305,91.7638
bras2021_diag_K10,squared_distance_map,mean,70.8074,90.7361
bras2021_diag_K10,squared_distance_map,topk,69.8679,91.1029
bras2021_diag_K10,squared_weighted_distance_map,max,58.9148,86.9066
bras2021_diag_K10,squared_weighted_distance_map,mean,65.8102,88.6598
bras2021_diag_K10,squared_weighted_distance_map,topk,61.6987,87.6685
bras2021_diag_K100,anomaly_map,max,65.0916,88.6786
bras2021_diag_K100,anomaly_map,mean,66.7596,88.9507
bras2021_diag_K100,anomaly_map,topk,71.3407,90.2991
bras2021_diag_K100,distance_map,max,66.6682,88.8648
bras2021_diag_K100,distance_map,mean,69.0796,90.0167
bras2021_diag_K100,distance_map,topk,75.0885,92.0304
bras2021_diag_K100,cosine_distance_map,max,69.3407,89.9836
bras2021_diag_K100,cosine_distance_map,mean,71.5212,91.0085
bras2021_diag_K100,cosine_distance_map,topk,76.6363,92.7196
bras2021_diag_K100,weighted_distance_map,max,57.7794,85.4203
bras2021_diag_K100,weighted_distance_map,mean,63.0379,87.4685
bras2021_diag_K100,weighted_distance_map,topk,59.7475,86.2399
bras2021_diag_K100,max_log_prob_map,max,65.0758,88.6757
bras2021_diag_K100,max_log_prob_map,mean,66.7599,88.9507
bras2021_diag_K100,max_log_prob_map,topk,71.2979,90.2868
bras2021_diag_K100,squared_distance_map,max,66.6682,88.8648
bras2021_diag_K100,squared_distance_map,mean,70.9808,90.7744
bras2021_diag_K100,squared_distance_map,topk,74.9416,91.9775
bras2021_diag_K100,squared_weighted_distance_map,max,57.7794,85.4203
bras2021_diag_K100,squared_weighted_distance_map,mean,62.9922,87.4428
bras2021_diag_K100,squared_weighted_distance_map,topk,59.7254,86.2317
bras2021_diag_K150,anomaly_map,max,69.6138,90.3540
bras2021_diag_K150,anomaly_map,mean,65.9517,88.5819
bras2021_diag_K150,anomaly_map,topk,75.4741,91.9356
bras2021_diag_K150,distance_map,max,72.2425,91.3491
bras2021_diag_K150,distance_map,mean,68.7293,89.8879
bras2021_diag_K150,distance_map,topk,78.7583,93.4948
bras2021_diag_K150,cosine_distance_map,max,72.9748,91.6096
bras2021_diag_K150,cosine_distance_map,mean,71.8795,91.1402
bras2021_diag_K150,cosine_distance_map,topk,79.5072,93.7975
bras2021_diag_K150,weighted_distance_map,max,55.4243,85.3981
bras2021_diag_K150,weighted_distance_map,mean,63.4015,87.8763
bras2021_diag_K150,weighted_distance_map,topk,60.8992,86.7421
bras2021_diag_K150,max_log_prob_map,max,69.6283,90.3625
bras2021_diag_K150,max_log_prob_map,mean,65.9659,88.5875
bras2021_diag_K150,max_log_prob_map,topk,75.5119,91.9535
bras2021_diag_K150,squared_distance_map,max,72.2425,91.3491
bras2021_diag_K150,squared_distance_map,mean,71.2572,90.8814
bras2021_diag_K150,squared_distance_map,topk,78.6563,93.4652
bras2021_diag_K150,squared_weighted_distance_map,max,55.4243,85.3981
bras2021_diag_K150,squared_weighted_distance_map,mean,63.3904,87.8361
bras2021_diag_K150,squared_weighted_distance_map,topk,60.8288,86.7254
